,Study,Authors,Year,Source,City_Region,Country,Climate,Number_Participants,Male,Female,Age,Occupation,Anthropometric_Data,Health_Status,Clothing_Insulation,Clothing_Insulation2,Exposure_Time,Measure,Measure_Type,Metric,SA,TLow_C,THigh_C,TLow_F,THigh_F,PLow,PHigh
51,11-Lan,"Lan, Wargocki, Lian",2011,Energy and Buildings,NA,China,Continental,12,6,6,23,NA,NO,YES,0.9,0.9,270,Addition,Mathematical Reasoning,RT,Speed,23.3,31.1,73.94,87.98,19.9,22.1
52,11-Lan,"Lan, Wargocki, Lian",2011,Energy and Buildings,NA,China,Continental,12,6,6,23,NA,NO,YES,0.9,0.9,270,Redirection,Spatial Memory,RT,Speed,23.3,31.1,73.94,87.98,1.084,1.116
53,11-Lan,"Lan, Wargocki, Lian",2011,Energy and Buildings,NA,China,Continental,12,6,6,23,NA,NO,YES,0.9,0.9,270,Grammatical reasoning,Grammatical Reasoning,RT,Speed,23.3,31.1,73.94,87.98,6.764,7.811
54,11-Lan,"Lan, Wargocki, Lian",2011,Energy and Buildings,NA,China,Continental,12,6,6,23,NA,NO,YES,0.9,0.9,270,Stroop,Inhibition,RT,Speed,23.3,31.1,73.94,87.98,1.955,2.151
55,11-Lan,"Lan, Wargocki, Lian",2011,Energy and Buildings,NA,China,Continental,12,6,6,23,NA,NO,YES,0.9,0.9,270,Number calculation,Mathematical Reasoning,RT,Speed,23.3,31.1,73.94,87.98,4.381,4.6
56,11-Lan,"Lan, Wargocki, Lian",2011,Energy and Buildings,NA,China,Continental,12,6,6,23,NA,NO,YES,0.9,0.9,270,Visual reaction time,Sustained Attention,RT,Speed,23.3,31.1,73.94,87.98,0.595,0.648
57,10-Th,"Tham, Willem",2010,Building and Environment,Singapore,Singapore,Tropical,96,48,48,21.5,Students,YES,YES,NA,NA,240,Numerical reasoning,Mathematical Reasoning,NOE,Speed,20.2,23.2,68.36,73.76,2.4,2.5
58,10-Th,"Tham, Willem",2010,Building and Environment,Singapore,Singapore,Tropical,96,48,48,21.5,Students,YES,YES,NA,NA,240,Numerical reasoning,Mathematical Reasoning,NOE,Speed,23.2,26,73.76,78.8,2.5,2.4
59,10-Th,"Tham, Willem",2010,Building and Environment,Singapore,Singapore,Tropical,96,48,48,21.5,Students,YES,YES,NA,NA,240,Alphabetical reasoning,Grammatical Reasoning,NOE,Speed,20.2,23.2,68.36,73.76,18.9,19.6
60,10-Th,"Tham, Willem",2010,Building and Environment,Singapore,Singapore,Tropical,96,48,48,21.5,Students,YES,YES,NA,NA,240,Alphabetical reasoning,Grammatical Reasoning,NOE,Speed,23.2,26,73.76,78.8,19.6,19.1
61,10-Th,"Tham, Willem",2010,Building and Environment,Singapore,Singapore,Tropical,96,48,48,21.5,Students,YES,YES,NA,NA,240,Concentration endurance,Visual Searching,NOE,Speed,20.2,23.2,68.36,73.76,148.8,152.5
62,10-Th,"Tham, Willem",2010,Building and Environment,Singapore,Singapore,Tropical,96,48,48,21.5,Students,YES,YES,NA,NA,240,Concentration endurance,Visual Searching,NOE,Speed,23.2,26,73.76,78.8,152.5,149.7
63,10-Th,"Tham, Willem",2010,Building and Environment,Singapore,Singapore,Tropical,96,48,48,21.5,Students,YES,YES,NA,NA,240,Arousal,Visual Searching,NOE,Speed,20.2,23.2,68.36,73.76,14,14
64,10-Th,"Tham, Willem",2010,Building and Environment,Singapore,Singapore,Tropical,96,48,48,21.5,Students,YES,YES,NA,NA,240,Arousal,Visual Searching,NOE,Speed,23.2,26,73.76,78.8,14,15
65,10-Th,"Tham, Willem",2010,Building and Environment,Singapore,Singapore,Tropical,96,48,48,21.5,Students,YES,YES,NA,NA,240,Addition,Mathematical Reasoning,NOE,Speed,20.2,23.2,68.36,73.76,27.1,26.8
66,10-Th,"Tham, Willem",2010,Building and Environment,Singapore,Singapore,Tropical,96,48,48,21.5,Students,YES,YES,NA,NA,240,Addition,Mathematical Reasoning,NOE,Speed,23.2,26,73.76,78.8,26.8,27
67,10-Th,"Tham, Willem",2010,Building and Environment,Singapore,Singapore,Tropical,96,48,48,21.5,Students,YES,YES,NA,NA,240,Proofreading,Verbal Comprehension,NOE,Speed,20.2,23.2,68.36,73.76,21.7,18.8
68,10-Th,"Tham, Willem",2010,Building and Environment,Singapore,Singapore,Tropical,96,48,48,21.5,Students,YES,YES,NA,NA,240,Proofreading,Verbal Comprehension,NOE,Speed,23.2,26,73.76,78.8,18.8,21.1
69,10-Th,"Tham, Willem",2010,Building and Environment,Singapore,Singapore,Tropical,96,48,48,21.5,Students,YES,YES,NA,NA,240,Text typing,Simulated Work,NOE,Speed,20.2,23.2,68.36,73.76,31.9,30.7
70,10-Th,"Tham, Willem",2010,Building and Environment,Singapore,Singapore,Tropical,96,48,48,21.5,Students,YES,YES,NA,NA,240,Text typing,Simulated Work,NOE,Speed,23.2,26,73.76,78.8,30.7,30.9
71,10-Th,"Tham, Willem",2010,Building and Environment,Singapore,Singapore,Tropical,96,48,48,21.5,Students,YES,YES,NA,NA,240,Text typing,Simulated Work,NOE,Speed,20.2,23.2,68.36,73.76,195.5,188.2
72,10-Th,"Tham, Willem",2010,Building and Environment,Singapore,Singapore,Tropical,96,48,48,21.5,Students,YES,YES,NA,NA,240,Text typing,Simulated Work,NOE,Speed,23.2,26,73.76,78.8,188.2,189.4
73,09-Lan,"Lan, Lian, Pan, Ye",2009,Building and Environment,NA,China,Continental,24,12,12,25,Students,NO,NO,0.6,0.6,80,Letter search,Visual Searching,RT,Speed,19.5,25.4,67.1,77.72,71.31,64.83
74,09-Lan,"Lan, Lian, Pan, Ye",2009,Building and Environment,NA,China,Continental,24,12,12,25,Students,NO,NO,0.6,0.6,80,Letter search,Visual Searching,RT,Speed,25.4,27.2,77.72,80.96,64.83,65.83
75,09-Lan,"Lan, Lian, Pan, Ye",2009,Building and Environment,NA,China,Continental,24,12,12,25,Students,NO,NO,0.6,0.6,80,Letter search,Visual Searching,RT,Speed,27.2,32.2,80.96,89.96,65.83,68.55
76,09-Lan,"Lan, Lian, Pan, Ye",2009,Building and Environment,NA,China,Continental,24,12,12,25,Students,NO,NO,0.6,0.6,80,Overlapping,Visual Searching,RT,Speed,19.5,25.4,67.1,77.72,222.38,220.23
77,09-Lan,"Lan, Lian, Pan, Ye",2009,Building and Environment,NA,China,Continental,24,12,12,25,Students,NO,NO,0.6,0.6,80,Overlapping,Visual Searching,RT,Speed,25.4,27.2,77.72,80.96,220.23,211.29
78,09-Lan,"Lan, Lian, Pan, Ye",2009,Building and Environment,NA,China,Continental,24,12,12,25,Students,NO,NO,0.6,0.6,80,Overlapping,Visual Searching,RT,Speed,27.2,32.2,80.96,89.96,211.29,204.13
79,09-Lan,"Lan, Lian, Pan, Ye",2009,Building and Environment,NA,China,Continental,24,12,12,25,Students,NO,NO,0.6,0.6,80,Number calculation,Mathematical Reasoning,RT,Speed,19.5,25.4,67.1,77.72,178.21,163.11
80,09-Lan,"Lan, Lian, Pan, Ye",2009,Building and Environment,NA,China,Continental,24,12,12,25,Students,NO,NO,0.6,0.6,80,Number calculation,Mathematical Reasoning,RT,Speed,25.4,27.2,77.72,80.96,163.11,166.66
81,09-Lan,"Lan, Lian, Pan, Ye",2009,Building and Environment,NA,China,Continental,24,12,12,25,Students,NO,NO,0.6,0.6,80,Number calculation,Mathematical Reasoning,RT,Speed,27.2,32.2,80.96,89.96,166.66,156.24
82,09-Lan,"Lan, Lian, Pan, Ye",2009,Building and Environment,NA,China,Continental,24,12,12,25,Students,NO,NO,0.6,0.6,80,Conditional reasoning,Deductive Reasoning,RT,Speed,19.5,25.4,67.1,77.72,149.23,141.13
83,09-Lan,"Lan, Lian, Pan, Ye",2009,Building and Environment,NA,China,Continental,24,12,12,25,Students,NO,NO,0.6,0.6,80,Conditional reasoning,Deductive Reasoning,RT,Speed,25.4,27.2,77.72,80.96,141.13,147.1
84,09-Lan,"Lan, Lian, Pan, Ye",2009,Building and Environment,NA,China,Continental,24,12,12,25,Students,NO,NO,0.6,0.6,80,Conditional reasoning,Deductive Reasoning,RT,Speed,27.2,32.2,80.96,89.96,147.1,142.75
85,09-Lan,"Lan, Lian, Pan, Ye",2009,Building and Environment,NA,China,Continental,24,12,12,25,Students,NO,NO,0.6,0.6,80,Spatial image,Spatial Reasoning,RT,Speed,19.5,25.4,67.1,77.72,161.29,143.05
86,09-Lan,"Lan, Lian, Pan, Ye",2009,Building and Environment,NA,China,Continental,24,12,12,25,Students,NO,NO,0.6,0.6,80,Spatial image,Spatial Reasoning,RT,Speed,25.4,27.2,77.72,80.96,143.05,147.35
87,09-Lan,"Lan, Lian, Pan, Ye",2009,Building and Environment,NA,China,Continental,24,12,12,25,Students,NO,NO,0.6,0.6,80,Spatial image,Spatial Reasoning,RT,Speed,27.2,32.2,80.96,89.96,147.35,146.45
88,09-Lan,"Lan, Lian, Pan, Ye",2009,Building and Environment,NA,China,Continental,24,12,12,25,Students,NO,NO,0.6,0.6,80,Picture recognition,Recognition Memory,RT,Speed,19.5,25.4,67.1,77.72,19.93,19.55
89,09-Lan,"Lan, Lian, Pan, Ye",2009,Building and Environment,NA,China,Continental,24,12,12,25,Students,NO,NO,0.6,0.6,80,Picture recognition,Recognition Memory,RT,Speed,25.4,27.2,77.72,80.96,19.55,18.83
90,09-Lan,"Lan, Lian, Pan, Ye",2009,Building and Environment,NA,China,Continental,24,12,12,25,Students,NO,NO,0.6,0.6,80,Picture recognition,Recognition Memory,RT,Speed,27.2,32.2,80.96,89.96,18.83,19.13
91,09-Lan,"Lan, Lian, Pan, Ye",2009,Building and Environment,NA,China,Continental,24,12,12,25,Students,NO,NO,0.6,0.6,80,Symbol-digit modalities,Short-Term Memory,RT,Speed,19.5,25.4,67.1,77.72,145.75,142.3
92,09-Lan,"Lan, Lian, Pan, Ye",2009,Building and Environment,NA,China,Continental,24,12,12,25,Students,NO,NO,0.6,0.6,80,Symbol-digit modalities,Short-Term Memory,RT,Speed,25.4,27.2,77.72,80.96,142.3,146.01
93,09-Lan,"Lan, Lian, Pan, Ye",2009,Building and Environment,NA,China,Continental,24,12,12,25,Students,NO,NO,0.6,0.6,80,Symbol-digit modalities,Short-Term Memory,RT,Speed,27.2,32.2,80.96,89.96,146.01,136.1
94,09-Lan,"Lan, Lian, Pan, Ye",2009,Building and Environment,NA,China,Continental,24,12,12,25,Students,NO,NO,0.6,0.6,80,Visual choice reaction time,Sustained Attention,RT,Speed,19.5,25.4,67.1,77.72,47.13,46.91
95,09-Lan,"Lan, Lian, Pan, Ye",2009,Building and Environment,NA,China,Continental,24,12,12,25,Students,NO,NO,0.6,0.6,80,Visual choice reaction time,Sustained Attention,RT,Speed,25.4,27.2,77.72,80.96,46.91,46.55
96,09-Lan,"Lan, Lian, Pan, Ye",2009,Building and Environment,NA,China,Continental,24,12,12,25,Students,NO,NO,0.6,0.6,80,Visual choice reaction time,Sustained Attention,RT,Speed,27.2,32.2,80.96,89.96,46.55,46.53
97,09-LL,"Lan, Lian",2009,Building and Environment,NA,China,Continental,22,15,6,NA,Students,NO,NO,1.2,1.2,120,Letter search,Visual Searching,RT,Speed,18,21.1,64.4,69.98,83.7,81.9
98,09-LL,"Lan, Lian",2009,Building and Environment,NA,China,Continental,22,15,6,NA,Students,NO,NO,1.2,1.2,120,Letter search,Visual Searching,RT,Speed,21.1,28.2,69.98,82.76,81.9,82.3
99,09-LL,"Lan, Lian",2009,Building and Environment,NA,China,Continental,22,15,6,NA,Students,NO,NO,1.2,1.2,120,Overlapping,Visual Searching,RT,Speed,18,21.1,64.4,69.98,189.4,188.5
100,09-LL,"Lan, Lian",2009,Building and Environment,NA,China,Continental,22,15,6,NA,Students,NO,NO,1.2,1.2,120,Overlapping,Visual Searching,RT,Speed,21.1,28.2,69.98,82.76,188.5,200.6
101,09-LL,"Lan, Lian",2009,Building and Environment,NA,China,Continental,22,15,6,NA,Students,NO,NO,1.2,1.2,120,Picture recognition,Recognition Memory,RT,Speed,18,21.1,64.4,69.98,30.2,29.2
102,09-LL,"Lan, Lian",2009,Building and Environment,NA,China,Continental,22,15,6,NA,Students,NO,NO,1.2,1.2,120,Picture recognition,Recognition Memory,RT,Speed,21.1,28.2,69.98,82.76,29.2,30
103,09-LL,"Lan, Lian",2009,Building and Environment,NA,China,Continental,22,15,6,NA,Students,NO,NO,1.2,1.2,120,Number calculation,Mathematical Reasoning,RT,Speed,18,21.1,64.4,69.98,817.9,825.6
104,09-LL,"Lan, Lian",2009,Building and Environment,NA,China,Continental,22,15,6,NA,Students,NO,NO,1.2,1.2,120,Number calculation,Mathematical Reasoning,RT,Speed,21.1,28.2,69.98,82.76,825.6,857.7
105,09-LL,"Lan, Lian",2009,Building and Environment,NA,China,Continental,22,15,6,NA,Students,NO,NO,1.2,1.2,120,Event sequence,Verbal Comprehension,RT,Speed,18,21.1,64.4,69.98,331.9,318.7
106,09-LL,"Lan, Lian",2009,Building and Environment,NA,China,Continental,22,15,6,NA,Students,NO,NO,1.2,1.2,120,Event sequence,Verbal Comprehension,RT,Speed,21.1,28.2,69.98,82.76,318.7,335.5
107,09-LL,"Lan, Lian",2009,Building and Environment,NA,China,Continental,22,15,6,NA,Students,NO,NO,1.2,1.2,120,Conditional reasoning,Deductive Reasoning,RT,Speed,18,21.1,64.4,69.98,337.2,338.5
108,09-LL,"Lan, Lian",2009,Building and Environment,NA,China,Continental,22,15,6,NA,Students,NO,NO,1.2,1.2,120,Conditional reasoning,Deductive Reasoning,RT,Speed,21.1,28.2,69.98,82.76,338.5,342
109,09-LL,"Lan, Lian",2009,Building and Environment,NA,China,Continental,22,15,6,NA,Students,NO,NO,1.2,1.2,120,Reading comprehension,Verbal Comprehension,RT,Speed,18,21.1,64.4,69.98,166.6,165.1
110,09-LL,"Lan, Lian",2009,Building and Environment,NA,China,Continental,22,15,6,NA,Students,NO,NO,1.2,1.2,120,Reading comprehension,Verbal Comprehension,RT,Speed,21.1,28.2,69.98,82.76,165.1,152.2
111,09-LL,"Lan, Lian",2009,Building and Environment,NA,China,Continental,22,15,6,NA,Students,NO,NO,1.2,1.2,120,Spatial image,Spatial Reasoning,RT,Speed,18,21.1,64.4,69.98,156.1,143.7
112,09-LL,"Lan, Lian",2009,Building and Environment,NA,China,Continental,22,15,6,NA,Students,NO,NO,1.2,1.2,120,Spatial image,Spatial Reasoning,RT,Speed,21.1,28.2,69.98,82.76,143.7,168.4
113,09-LL,"Lan, Lian",2009,Building and Environment,NA,China,Continental,22,15,6,NA,Students,NO,NO,1.2,1.2,120,Graphic abstracting,Spatial Reasoning,RT,Speed,18,21.1,64.4,69.98,209.5,178.7
114,09-LL,"Lan, Lian",2009,Building and Environment,NA,China,Continental,22,15,6,NA,Students,NO,NO,1.2,1.2,120,Graphic abstracting,Spatial Reasoning,RT,Speed,21.1,28.2,69.98,82.76,178.7,209.1
